flight_no.,date_and_time_(utc),"version,_booster[h]",launch_site,payload[i],payload_mass,orbit,customer,launch_outcome,booster_landing,latitude,longitude
215,"April 2, 2023 14:29[85]",F9 B5 B1075‑2,"Vandenberg, SLC‑4E",SDA Tranche 0A (10 satellites),Unknown,LEO,SDA,Success,Success (LZ‑4),34.6328344,-120.6107465
216,"April 7, 2023 04:30[87]",F9 B5 B1076‑4,"Cape Canaveral, SLC‑40",Intelsat 40e,"~5,588 kg (12,319 lb)",GTO,Intelsat,Success,Success (ASOG),28.5618571,-80.577366
217,"April 15, 2023 06:47[90]",F9 B5 B1063‑10,"Vandenberg, SLC‑4E",Transporter-7 (51 payload smallsat rideshare),Unknown,SSO,Various,Success,Success (LZ‑4),34.6328344,-120.6107465
218,"April 19, 2023 14:31[93]",F9 B5 B1073‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-2 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
219,"April 27, 2023 13:40[94]",F9 B5 B1061‑13,"Vandenberg, SLC‑4E",Starlink: Group 3-5 (46 satellites),"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
220,"April 28, 2023 22:12[95]",F9 B5 B1078‑2,"Cape Canaveral, SLC‑40",O3b mPOWER 3 & 4,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success (JRTI),28.5618571,-80.577366
FH 6,"May 1, 2023 00:26[99]",Falcon Heavy B5 B1068 (core),"Kennedy, LC‑39A",ViaSat-3 Americas[100][101],"6,400 kg (14,100 lb)",GEO,ViaSat,Success,No attempt,28.6080585,-80.6039558
221,"May 4, 2023 07:31[105]",F9 B5 B1069‑7,"Cape Canaveral, SLC‑40",Starlink: Group 5-6 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
222,"May 10, 2023 20:09[107]",F9 B5 B1075‑3[108],"Vandenberg, SLC‑4E",Starlink: Group 2-9 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
223,"May 14, 2023 05:03[109]",F9 B5 B1067‑11,"Cape Canaveral, SLC‑40",Starlink: Group 5-9 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
224,"May 19, 2023 06:19[110]",F9 B5 B1076‑5,"Cape Canaveral, SLC‑40",Starlink: Group 6-3 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
225,"May 20, 2023 13:16[110]",F9 B5 B1063‑11,"Vandenberg, SLC‑4E",Iridium-NEXT[111] (5 satellites) OneWeb (15 Gen1 plus a Gen2 test satellite)[112],"~6,600 kg (14,600 lb)",Polar LEO,Iridium & OneWeb,Success,Success (OCISLY),34.6328344,-120.6107465
226,"May 21, 2023 21:37[113]",F9 B5 B1080‑1,"Kennedy, LC‑39A",Ax-2 (Crew Dragon C212.2 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success (LZ‑1),28.6080585,-80.6039558
